region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
IA,ice,CESM2-LE,source,Residual,25.5,,,,,0.12,12723.69,21401.5
IA,ice,CESM2-LE,sink,Vapour Exchange,38.63,1.98,0.3,0.29,0.32,0.18,12723.69,21401.5
IA,ice,CESM2-LE,sink,Top melt,3033.33,129.47,23.84,22.82,24.86,14.17,12723.69,21401.5
IA,ice,CESM2-LE,sink,Lateral melt,443.98,12.23,3.49,3.39,3.59,2.07,12723.69,21401.5
IA,ice,CESM2-LE,sink,Basal melt,7879.96,142.42,61.93,60.81,63.05,36.82,12723.69,21401.5
IA,ice,CESM2-LE,sink,Dynamics,1327.79,98.96,10.44,9.66,11.21,6.2,12723.69,21401.5
IA,ice,NorESM2-LM,source,Snow-to-ice,169.11,12.81,1.32,1.22,1.42,0.79,13039.66,21401.5
IA,ice,NorESM2-LM,source,Open water ice production,3116.08,58.94,24.28,23.82,24.73,14.56,13039.66,21401.5
IA,ice,NorESM2-LM,source,Basal growth,9551.13,152.8,74.41,73.22,75.6,44.63,13039.66,21401.5
IA,ice,NorESM2-LM,source,Residual,203.33,,,,,0.95,13039.66,21401.5
IA,ice,NorESM2-LM,sink,Vapour Exchange,38.92,1.36,0.3,0.29,0.31,0.18,13039.66,21401.5
IA,ice,NorESM2-LM,sink,Top melt,2892.31,96.21,22.18,21.44,22.92,13.51,13039.66,21401.5
IA,ice,NorESM2-LM,sink,Lateral melt,458.6,11.51,3.52,3.43,3.61,2.14,13039.66,21401.5
IA,ice,NorESM2-LM,sink,Basal melt,7808.21,137.99,59.88,58.82,60.94,36.48,13039.66,21401.5
IA,ice,NorESM2-LM,sink,Dynamics,1841.61,135.03,14.12,13.09,15.16,8.61,13039.66,21401.5
IA,ice,CNRM-CM6-1,source,Snow-to-ice,1294.86,0.0,9.13,9.13,9.13,6.05,14393.31,21401.5
IA,ice,CNRM-CM6-1,source,Open water ice production,2071.67,0.0,14.6,14.6,14.6,9.68,14393.31,21401.5
IA,ice,CNRM-CM6-1,source,Basal growth,10823.44,0.0,76.28,76.28,76.28,50.57,14393.31,21401.5
IA,ice,CNRM-CM6-1,source,Residual,203.34,,,,,0.95,14393.31,21401.5
IA,ice,CNRM-CM6-1,sink,Vapour Exchange,0.9,0.0,0.01,0.01,0.01,0.0,14393.31,21401.5
IA,ice,CNRM-CM6-1,sink,Top melt,1901.72,0.0,13.21,13.21,13.21,8.89,14393.31,21401.5
IA,ice,CNRM-CM6-1,sink,Lateral melt,64.5,0.0,0.45,0.45,0.45,0.3,14393.31,21401.5
IA,ice,CNRM-CM6-1,sink,Basal melt,11142.96,0.0,77.42,77.42,77.42,52.07,14393.31,21401.5
IA,ice,CNRM-CM6-1,sink,Dynamics,1283.22,0.0,8.92,8.92,8.92,6.0,14393.31,21401.5
IA,ice,CNRM-ESM2-1,source,Snow-to-ice,1336.91,0.0,9.68,9.68,9.68,6.25,13897.88,21401.5
IA,ice,CNRM-ESM2-1,source,Open water ice production,2111.55,0.0,15.29,15.29,15.29,9.87,13897.88,21401.5
IA,ice,CNRM-ESM2-1,source,Basal growth,10364.36,0.0,75.03,75.03,75.03,48.43,13897.88,21401.5
IA,ice,CNRM-ESM2-1,source,Residual,85.07,,,,,0.4,13897.88,21401.5
IA,ice,CNRM-ESM2-1,sink,Vapour Exchange,0.86,0.0,0.01,0.01,0.01,0.0,13897.88,21401.5
IA,ice,CNRM-ESM2-1,sink,Top melt,1935.71,0.0,13.93,13.93,13.93,9.04,13897.88,21401.5
IA,ice,CNRM-ESM2-1,sink,Lateral melt,55.25,0.0,0.4,0.4,0.4,0.26,13897.88,21401.5
IA,ice,CNRM-ESM2-1,sink,Basal melt,10905.65,0.0,78.47,78.47,78.47,50.96,13897.88,21401.5
IA,ice,CNRM-ESM2-1,sink,Dynamics,1000.41,0.0,7.2,7.2,7.2,4.67,13897.88,21401.5
IA,ice,IPSL-CM6A-LR,source,Snow-to-ice,152.44,5.41,1.11,1.07,1.15,0.71,13677.62,21401.5
IA,ice,IPSL-CM6A-LR,source,Open water ice production,2709.48,28.35,19.81,19.6,20.02,12.66,13677.62,21401.5
IA,ice,IPSL-CM6A-LR,source,Basal growth,10815.7,231.84,79.08,77.38,80.77,50.54,13677.62,21401.5
IA,ice,IPSL-CM6A-LR,sink,Vapour Exchange,41.15,2.06,0.31,0.3,0.33,0.19,13677.62,21401.5
IA,ice,IPSL-CM6A-LR,sink,Top melt,4790.5,107.67,36.43,35.61,37.25,22.38,13677.62,21401.5
IA,ice,IPSL-CM6A-LR,sink,Basal melt,8317.32,151.37,63.25,62.1,64.41,38.86,13677.62,21401.5
IA,ice,IPSL-CM6A-LR,sink,Residual,528.65,,,,,2.47,13677.62,21401.5
IA,ice,EC-Earth3,source,Snow-to-ice,187.41,14.05,1.44,1.33,1.54,0.88,13055.38,21401.5
IA,ice,EC-Earth3,source,Open water ice production,3490.03,44.29,26.73,26.39,27.07,16.31,13055.38,21401.5
IA,ice,EC-Earth3,source,Basal growth,9377.94,259.55,71.83,69.84,73.82,43.82,13055.38,21401.5
IA,ice,EC-Earth3,sink,Vapour Exchange,79.69,2.39,0.67,0.65,0.69,0.37,13055.38,21401.5
IA,ice,EC-Earth3,sink,Top melt,3000.89,82.55,25.08,24.39,25.77,14.02,13055.38,21401.5
IA,ice,EC-Earth3,sink,Basal melt,8885.81,176.46,74.26,72.78,75.73,41.52,13055.38,21401.5
IA,ice,EC-Earth3,sink,Residual,1088.99,,,,,5.09,13055.38,21401.5
IA,ice,MME,source,Snow-to-ice,201.43,176.6,1.51,0.19,2.84,0.94,13656.6,21401.5
IA,ice,MME,source,Open water ice production,2677.91,970.92,20.14,12.84,27.44,12.51,13656.6,21401.5
IA,ice,MME,source,Basal growth,10419.34,1396.38,78.35,67.85,88.85,48.69,13656.6,21401.5
IA,ice,MME,source,Residual,357.92,,,,,1.67,13656.6,21401.5
IA,ice,MME,sink,Vapour Exchange,70.01,65.26,0.51,0.03,0.99,0.33,13656.6,21401.5
IA,ice,MME,sink,Top melt,3574.44,1117.83,26.17,17.99,34.36,16.7,13656.6,21401.5
IA,ice,MME,sink,Lateral melt,463.89,92.25,3.4,2.72,4.07,2.17,13656.6,21401.5
IA,ice,MME,sink,Basal melt,8127.36,721.54,59.51,54.23,64.8,37.98,13656.6,21401.5
IA,ice,MME,sink,Dynamics,1420.9,268.82,10.4,8.44,12.37,6.64,13656.6,21401.5
