region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
SO,ice,CESM2-LE,sink,Basal melt,20763.1,314.75,95.82,94.37,97.27,97.02,21668.94,21401.5
SO,ice,NorESM2-LM,source,Snow-to-ice,4850.82,156.58,24.19,23.41,24.97,22.67,20055.78,21401.5
SO,ice,NorESM2-LM,source,Open water ice production,6328.74,133.25,31.56,30.89,32.22,29.57,20055.78,21401.5
SO,ice,NorESM2-LM,source,Basal growth,8876.23,101.46,44.26,43.75,44.76,41.47,20055.78,21401.5
SO,ice,NorESM2-LM,sink,Vapour Exchange,23.27,1.01,0.12,0.11,0.12,0.11,20055.78,21401.5
SO,ice,NorESM2-LM,sink,Top melt,119.14,13.01,0.6,0.53,0.66,0.56,20055.78,21401.5
SO,ice,NorESM2-LM,sink,Lateral melt,722.95,18.48,3.61,3.52,3.71,3.38,20055.78,21401.5
SO,ice,NorESM2-LM,sink,Basal melt,19139.3,257.89,95.67,94.39,96.96,89.43,20055.78,21401.5
SO,ice,NorESM2-LM,sink,Residual,51.12,,,,,0.24,20055.78,21401.5
SO,ice,CNRM-CM6-1,source,Snow-to-ice,11525.12,0.0,41.82,41.82,41.82,53.85,27755.27,21401.5
SO,ice,CNRM-CM6-1,source,Open water ice production,4086.37,0.0,14.83,14.83,14.83,19.09,27755.27,21401.5
SO,ice,CNRM-CM6-1,source,Basal growth,11944.63,0.0,43.35,43.35,43.35,55.81,27755.27,21401.5
SO,ice,CNRM-CM6-1,source,Residual,199.14,,,,,0.93,27755.27,21401.5
SO,ice,CNRM-CM6-1,sink,Vapour Exchange,11.98,0.0,0.04,0.04,0.04,0.06,27755.27,21401.5
SO,ice,CNRM-CM6-1,sink,Top melt,1669.44,0.0,6.01,6.01,6.01,7.8,27755.27,21401.5
SO,ice,CNRM-CM6-1,sink,Lateral melt,49.28,0.0,0.18,0.18,0.18,0.23,27755.27,21401.5
SO,ice,CNRM-CM6-1,sink,Basal melt,26024.57,0.0,93.76,93.76,93.76,121.6,27755.27,21401.5
SO,ice,CNRM-ESM2-1,source,Snow-to-ice,8934.79,0.0,41.18,41.18,41.18,41.75,21850.74,21401.5
SO,ice,CNRM-ESM2-1,source,Open water ice production,3392.03,0.0,15.64,15.64,15.64,15.85,21850.74,21401.5
SO,ice,CNRM-ESM2-1,source,Basal growth,9367.74,0.0,43.18,43.18,43.18,43.77,21850.74,21401.5
SO,ice,CNRM-ESM2-1,source,Residual,156.19,,,,,0.73,21850.74,21401.5
SO,ice,CNRM-ESM2-1,sink,Vapour Exchange,9.46,0.0,0.04,0.04,0.04,0.04,21850.74,21401.5
SO,ice,CNRM-ESM2-1,sink,Top melt,1395.54,0.0,6.39,6.39,6.39,6.52,21850.74,21401.5
SO,ice,CNRM-ESM2-1,sink,Lateral melt,34.35,0.0,0.16,0.16,0.16,0.16,21850.74,21401.5
SO,ice,CNRM-ESM2-1,sink,Basal melt,20411.39,0.0,93.41,93.41,93.41,95.37,21850.74,21401.5
SO,ice,IPSL-CM6A-LR,source,Snow-to-ice,7117.91,160.53,22.96,22.44,23.48,33.26,31226.22,21401.5
SO,ice,IPSL-CM6A-LR,source,Open water ice production,13687.07,330.87,44.15,43.08,45.22,63.95,31226.22,21401.5
SO,ice,IPSL-CM6A-LR,source,Basal growth,10195.28,174.34,32.89,32.33,33.45,47.64,31226.22,21401.5
SO,ice,IPSL-CM6A-LR,source,Residual,225.96,,,,,1.06,31226.22,21401.5
SO,ice,IPSL-CM6A-LR,sink,Vapour Exchange,70.16,1.79,0.22,0.22,0.23,0.33,31226.22,21401.5
SO,ice,IPSL-CM6A-LR,sink,Top melt,1390.47,58.24,4.45,4.27,4.64,6.5,31226.22,21401.5
SO,ice,IPSL-CM6A-LR,sink,Basal melt,29765.6,590.89,95.32,93.43,97.21,139.08,31226.22,21401.5
SO,ice,EC-Earth3,source,Snow-to-ice,2947.24,185.95,25.32,23.72,26.91,13.77,11794.65,21401.5
SO,ice,EC-Earth3,source,Open water ice production,5540.78,222.53,47.6,45.68,49.51,25.89,11794.65,21401.5
SO,ice,EC-Earth3,source,Basal growth,3153.11,127.94,27.09,25.99,28.18,14.73,11794.65,21401.5
SO,ice,EC-Earth3,source,Residual,153.51,,,,,0.72,11794.65,21401.5
SO,ice,EC-Earth3,sink,Vapour Exchange,27.52,1.42,0.23,0.22,0.25,0.13,11794.65,21401.5
SO,ice,EC-Earth3,sink,Top melt,468.19,31.39,3.97,3.7,4.24,2.19,11794.65,21401.5
SO,ice,EC-Earth3,sink,Basal melt,11298.93,513.9,95.8,91.44,100.15,52.8,11794.65,21401.5
SO,ice,MME,source,Snow-to-ice,5306.1,2064.02,26.48,16.18,36.78,24.79,20406.79,21401.5
SO,ice,MME,source,Open water ice production,5899.93,2649.95,29.45,16.22,42.67,27.57,20406.79,21401.5
SO,ice,MME,source,Basal growth,8830.93,2557.16,44.07,31.31,56.84,41.26,20406.79,21401.5
SO,ice,MME,source,Residual,369.83,,,,,1.73,20406.79,21401.5
SO,ice,MME,sink,Vapour Exchange,73.92,129.52,0.36,0.0,1.0,0.35,20406.79,21401.5
SO,ice,MME,sink,Top melt,582.56,599.78,2.85,0.0,5.79,2.72,20406.79,21401.5
SO,ice,MME,sink,Lateral melt,596.64,143.72,2.92,2.22,3.63,2.79,20406.79,21401.5
SO,ice,MME,sink,Basal melt,19153.67,4921.22,93.86,69.74,117.97,89.5,20406.79,21401.5
AO,ice,ACCESS-CM2,source,Snow-to-ice,521.52,13.14,2.1,2.05,2.16,2.44,25118.84,21401.5
AO,ice,ACCESS-CM2,source,Open water ice production,4209.95,35.61,16.98,16.84,17.13,19.67,25118.84,21401.5
AO,ice,ACCESS-CM2,source,Basal growth,20056.44,273.64,80.91,79.81,82.02,93.72,25118.84,21401.5
AO,ice,ACCESS-CM2,source,Residual,330.93,,,,,1.55,25118.84,21401.5
AO,ice,ACCESS-CM2,sink,Vapour Exchange,339.98,10.69,1.35,1.31,1.4,1.59,25118.84,21401.5
AO,ice,ACCESS-CM2,sink,Top melt,8675.04,114.63,34.54,34.08,34.99,40.53,25118.84,21401.5
AO,ice,ACCESS-CM2,sink,Lateral melt,1071.47,27.52,4.27,4.16,4.38,5.01,25118.84,21401.5
AO,ice,ACCESS-CM2,sink,Basal melt,15032.35,225.08,59.84,58.95,60.74,70.24,25118.84,21401.5
AO,ice,HadGEM3-GC31-LL,source,Snow-to-ice,456.96,17.14,1.98,1.91,2.05,2.14,23848.29,21401.5
AO,ice,HadGEM3-GC31-LL,source,Open water ice production,4347.06,45.83,18.83,18.63,19.03,20.31,23848.29,21401.5
AO,ice,HadGEM3-GC31-LL,source,Basal growth,18281.52,226.15,79.19,78.21,80.17,85.42,23848.29,21401.5
AO,ice,HadGEM3-GC31-LL,source,Residual,762.76,,,,,3.56,23848.29,21401.5
AO,ice,HadGEM3-GC31-LL,sink,Vapour Exchange,369.87,6.7,1.55,1.52,1.58,1.73,23848.29,21401.5
AO,ice,HadGEM3-GC31-LL,sink,Top melt,8359.22,64.07,35.05,34.78,35.32,39.06,23848.29,21401.5
AO,ice,HadGEM3-GC31-LL,sink,Lateral melt,1025.96,14.48,4.3,4.24,4.36,4.79,23848.29,21401.5
AO,ice,HadGEM3-GC31-LL,sink,Basal melt,14093.23,178.87,59.1,58.35,59.85,65.85,23848.29,21401.5
AO,ice,UKESM1-0-LL,source,Snow-to-ice,490.01,18.25,2.17,2.09,2.25,2.29,23704.96,21401.5
AO,ice,UKESM1-0-LL,source,Open water ice production,4137.95,62.73,18.35,18.07,18.62,19.33,23704.96,21401.5
AO,ice,UKESM1-0-LL,source,Basal growth,17926.41,196.25,79.48,78.61,80.35,83.76,23704.96,21401.5
AO,ice,UKESM1-0-LL,source,Residual,1150.59,,,,,5.38,23704.96,21401.5
AO,ice,UKESM1-0-LL,sink,Vapour Exchange,390.4,5.45,1.65,1.62,1.67,1.82,23704.96,21401.5
AO,ice,UKESM1-0-LL,sink,Top melt,8152.99,97.84,34.39,33.98,34.81,38.1,23704.96,21401.5
AO,ice,UKESM1-0-LL,sink,Lateral melt,1084.98,17.36,4.58,4.5,4.65,5.07,23704.96,21401.5
AO,ice,UKESM1-0-LL,sink,Basal melt,14076.59,155.67,59.38,58.73,60.04,65.77,23704.96,21401.5
AO,ice,MRI-ESM2-0,source,Snow-to-ice,279.36,10.84,1.44,1.38,1.49,1.31,20319.45,21401.5
AO,ice,MRI-ESM2-0,source,Open water ice production,10032.75,120.24,51.68,51.06,52.3,46.88,20319.45,21401.5
AO,ice,MRI-ESM2-0,source,Basal growth,9100.1,208.38,46.88,45.8,47.95,42.52,20319.45,21401.5
AO,ice,MRI-ESM2-0,source,Residual,907.24,,,,,4.24,20319.45,21401.5
AO,ice,MRI-ESM2-0,sink,Vapour Exchange,50.93,1.23,0.25,0.24,0.26,0.24,20319.45,21401.5
AO,ice,MRI-ESM2-0,sink,Top melt,4317.66,95.1,21.25,20.78,21.72,20.17,20319.45,21401.5
AO,ice,MRI-ESM2-0,sink,Basal melt,15950.87,284.36,78.5,77.1,79.9,74.53,20319.45,21401.5
AO,ice,CESM2-WACCM,source,Snow-to-ice,808.34,26.16,4.24,4.1,4.38,3.78,19110.24,21401.5
AO,ice,CESM2-WACCM,source,Open water ice production,2953.45,46.44,15.5,15.25,15.74,13.8,19110.24,21401.5
AO,ice,CESM2-WACCM,source,Basal growth,15297.48,203.12,80.26,79.2,81.33,71.48,19110.24,21401.5
AO,ice,CESM2-WACCM,source,Residual,50.96,,,,,0.24,19110.24,21401.5
AO,ice,CESM2-WACCM,sink,Vapour Exchange,27.63,35.52,0.14,0.0,0.33,0.13,19110.24,21401.5
AO,ice,CESM2-WACCM,sink,Top melt,4807.44,145.66,25.16,24.39,25.92,22.46,19110.24,21401.5
AO,ice,CESM2-WACCM,sink,Lateral melt,778.75,13.41,4.08,4.0,4.15,3.64,19110.24,21401.5
AO,ice,CESM2-WACCM,sink,Basal melt,13496.41,187.74,70.62,69.64,71.61,63.06,19110.24,21401.5
AO,ice,CESM2-LE,source,Snow-to-ice,877.66,46.61,4.66,4.41,4.91,4.1,18867.85,21401.5
AO,ice,CESM2-LE,source,Open water ice production,2933.7,58.77,15.58,15.27,15.9,13.71,18867.85,21401.5
AO,ice,CESM2-LE,source,Basal growth,15013.74,285.68,79.75,78.24,81.27,70.15,18867.85,21401.5
AO,ice,CESM2-LE,source,Residual,42.76,,,,,0.2,18867.85,21401.5
AO,ice,CESM2-LE,sink,Vapour Exchange,53.58,2.26,0.28,0.27,0.3,0.25,18867.85,21401.5
