region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
SO,snow,EC-Earth3,source,Snowfall,2033.36,97.67,100.0,95.2,104.8,42.18,2033.36,4820.13
SO,snow,EC-Earth3,sink,Snowmelt,675.58,26.72,100.0,96.04,103.96,14.02,2033.36,4820.13
SO,snow,EC-Earth3,sink,Residual,1357.77,,,,,28.17,2033.36,4820.13
SO,snow,MME,source,Snowfall,4191.98,1081.96,100.0,74.19,125.81,86.97,4820.13,4820.13
SO,snow,MME,source,Residual,628.15,,,,,13.03,4820.13,4820.13
SO,snow,MME,sink,Vapour Exchange,443.13,79.41,9.19,7.55,10.84,9.19,4820.13,4820.13
SO,snow,MME,sink,Wind drift,485.0,22.08,10.06,9.6,10.52,10.06,4820.13,4820.13
SO,snow,MME,sink,Snowmelt,1439.03,527.7,29.85,18.91,40.8,29.85,4820.13,4820.13
SO,snow,MME,sink,Snow-to-ice,2224.31,580.27,46.15,34.11,58.18,46.15,4820.13,4820.13
SO,snow,MME,sink,Dynamics,228.66,171.94,4.74,1.18,8.31,4.74,4820.13,4820.13
AO,snow,ACCESS-CM2,source,Snowfall,2417.48,85.34,100.0,96.47,103.53,50.15,2417.48,4820.13
AO,snow,ACCESS-CM2,sink,Snowmelt,1276.62,57.1,70.63,67.47,73.79,26.49,2417.48,4820.13
AO,snow,ACCESS-CM2,sink,Snow-to-ice,187.68,4.73,10.38,10.12,10.64,3.89,2417.48,4820.13
AO,snow,ACCESS-CM2,sink,Dynamics,343.22,11.22,18.99,18.37,19.61,7.12,2417.48,4820.13
AO,snow,ACCESS-CM2,sink,Residual,609.97,,,,,12.65,2417.48,4820.13
AO,snow,HadGEM3-GC31-LL,source,Snowfall,2261.94,25.02,100.0,98.89,101.11,46.93,2261.94,4820.13
AO,snow,HadGEM3-GC31-LL,sink,Snowmelt,1339.61,15.68,69.03,68.22,69.84,27.79,2261.94,4820.13
AO,snow,HadGEM3-GC31-LL,sink,Snow-to-ice,456.96,17.14,23.55,22.66,24.43,9.48,2261.94,4820.13
AO,snow,HadGEM3-GC31-LL,sink,Dynamics,144.0,2.2,7.42,7.31,7.53,2.99,2261.94,4820.13
AO,snow,HadGEM3-GC31-LL,sink,Residual,321.37,,,,,6.67,2261.94,4820.13
AO,snow,UKESM1-0-LL,source,Snowfall,2414.77,65.72,100.0,97.28,102.72,50.1,2414.77,4820.13
AO,snow,UKESM1-0-LL,sink,Snowmelt,1469.08,39.72,69.6,67.72,71.49,30.48,2414.77,4820.13
AO,snow,UKESM1-0-LL,sink,Snow-to-ice,490.01,18.25,23.22,22.35,24.08,10.17,2414.77,4820.13
AO,snow,UKESM1-0-LL,sink,Dynamics,151.55,4.18,7.18,6.98,7.38,3.14,2414.77,4820.13
AO,snow,UKESM1-0-LL,sink,Residual,304.14,,,,,6.31,2414.77,4820.13
AO,snow,MRI-ESM2-0,source,Snowfall,2335.05,0.0,100.0,100.0,100.0,48.44,2335.05,4820.13
AO,snow,MRI-ESM2-0,source,Dynamics,0.0,0.0,0.0,0.0,0.0,0.0,2335.05,4820.13
AO,snow,MRI-ESM2-0,sink,Vapour Exchange,242.52,4.36,10.5,10.31,10.68,5.03,2335.05,4820.13
AO,snow,MRI-ESM2-0,sink,Snowmelt,1788.85,60.76,77.41,74.79,80.04,37.11,2335.05,4820.13
AO,snow,MRI-ESM2-0,sink,Snow-to-ice,279.36,10.84,12.09,11.62,12.56,5.8,2335.05,4820.13
AO,snow,MRI-ESM2-0,sink,Residual,24.31,,,,,0.5,2335.05,4820.13
AO,snow,CESM2-WACCM,source,Snowfall,1890.5,35.68,100.0,98.11,101.89,39.22,1890.5,4820.13
AO,snow,CESM2-WACCM,sink,Vapour Exchange,277.95,0.0,19.27,19.27,19.27,5.77,1890.5,4820.13
AO,snow,CESM2-WACCM,sink,Snowmelt,1164.49,24.75,80.73,79.01,82.45,24.16,1890.5,4820.13
AO,snow,CESM2-WACCM,sink,Residual,448.06,,,,,9.3,1890.5,4820.13
AO,snow,CESM2-LE,source,Snowfall,1852.02,52.36,100.0,97.17,102.83,38.42,1852.02,4820.13
AO,snow,CESM2-LE,sink,Vapour Exchange,252.95,4.84,14.98,14.69,15.26,5.25,1852.02,4820.13
AO,snow,CESM2-LE,sink,Snowmelt,1120.15,35.31,66.32,64.23,68.41,23.24,1852.02,4820.13
AO,snow,CESM2-LE,sink,Snow-to-ice,315.84,16.77,18.7,17.71,19.69,6.55,1852.02,4820.13
